"complex_name","venue_count"
"National Tennis Center","63"
"Buenos Aires Lawn Tennis Club","30"
"Melbourne Park","25"
"Hurd Tennis Center","24"
"Club Tennis Las Terrazas de Miraflores","22"
"Indian Wells Tennis Garden","21"
"Ariake Tennis Forest Park Ariake Colesseum","21"
"Megasaray Tennis Academy","21"
"Qi Zhong Tennis Center","21"
"Queensland Tennis Centre","20"
"Clube Hipico Santo Amaro","20"
"AELTC Wimbledon Qualifying and Community Sports Centre","20"
"Club Manquehue de Vitacura","19"
"TTF Istanbul Tenis Merkezi","19"
"All England Lawn Tennis and Croquet Club","19"
"Santo Domingo Tennis Club La Bocha","18"
"Nottingham Tennis Centre","18"
"Stade Roland Garros","18"
"Lindner Family Tennis Center","18"
"Club Internacional de Foot-ball","17"
"Sport Social Club","17"
"Jockey Club Brasileiro","17"
"USTA Billie Jean King National Tennis Center","17"
"Hot Springs Tennis Center","17"
"Tennis Club Sparta Praha","16"
"Victoria Park Tennis Court","16"
"Foro Italico","16"
"Sobeys Stadium","15"
"Salinas Golf & Tennis Club","15"
"Club Jacaranda Cumbaya","15"
"Circolo Tennis Hugo Simmen","15"
"Club Tennis Girona","15"
"Cary Leeds Center for Tennis & Learning","15"
"Jockey Club del Peru","15"
"CLUBE CRISTOVAO COLOMBO","14"
"Hengqin International Tennis Center Zhuhai","14"
"Multisport Sports Club","14"
"Madrid Arena","14"
"Eurosporting Cordenons","14"
"Real Club de Tenis Betis","14"
"Ilkley Lawn Tennis and Squash Club","14"
"ASB Tennis Arena","14"
"Payne Park Tennis Facility","13"
"Sporting Club de Tenis Valencia","13"
"Complexo Desportivo do Jamor","13"
"Hard Rock Stadium","13"
"Solano Community College","13"
"Mallorca Country Club Santa Ponsa","13"
"XS Tennis Village","13"
"Optics Valley International Tennis Center","13"
"Am Rothenbaum","12"
"Khalifa International Tennis & Squash Complex","12"
"Villa Primrose","12"
"Padiglione Conza","12"
"Olympic Park Tennis Center","12"
"Devonshire Park Lawn Tennis Centre","12"
"Hilary J. Boone Tennis Center","12"
"Centro Panamericano de Tenis","12"
"SEB Arena","12"
"Club Campestre de Pereira","12"
"Ningbo Tennis Center of WTA Ningbo, China w42","12"
"A.S.D. Tennis Club Como","12"
"National Sport Center Nanchang","11"
"Wake Forest Tennis Center","11"
"St. Jakobshalle Basel","11"
"River Oaks Country Club","11"
"Seoul Olympic Park Tennis Center","11"
"AAJB Tennis","11"
"Club Sonoma","11"
"Real Club de Tenis Barcelona","11"
"Eve Zimmermann Tennis Center","11"
"Sports Center Salata","11"
"Shenzhen International Tennis Center","11"
"Taipei Tennis Center","11"
"Westwood Country Club","11"
"Tennis Club de Strasbourg","11"
"Connecticut Tennis Center","11"
"Headington Family Tennis Center","11"
"Sociedade Hipica de Campinas","11"
"Country Time Club","10"
"Gezira Sporting Club","10"
"Circolo Della Stampa Sporting","10"
"Rafa Nadal Academy","10"
"Tennis Club Jug","10"
"Tennis St-Luc - Les Loisirs De Granby","10"
"Jinwol International Tennis Court","10"
"TC RW-Troisdorf e.V","10"
"Club Campestre de Aguacalientes A.C.C.","10"
"Skanes Family Hotel Monastir","10"
"Edgbaston Priory Club","10"
"Guangzhou Nansha International Tennis Center","10"
"Stan Sheriff Center","10"
"Tênis Clube de Santos","10"
"Taipei Arena","10"
"Spo1 Park","10"
"Hiroshima Regional Park","10"
"Tianjin Tuanbo International Tennis Center","10"
"Atkins Tennis Center","10"
"Clube de Ténis do Estoril","10"
"Tennis Center Novak","10"
"Wuxi International Tennis Center","10"
"Tennis Club de Troyes","9"
"Osten & Victor Alberta Tennis Centre","9"
"Legia Tenis & Golf","9"
"OWL Arena","9"
"Clube de Tenis de Braga","9"
"Club de Tenis Puente Romano","9"
"Tennis Club Napoli","9"
"Tiburon Peninsula Club","9"
"BNR arena","9"
"Monte-Carlo Country Club","9"
"Yokkaichi Tennis Center","9"
"MTTC Iphitos e.V.","9"
"Center Plains Tennis Center","9"
"Tennis Club Garden","9"
"Winnipeg Lawn Tennis Club","9"
"Country Club Las Palmas","9"
"Ehime Prefectural Sports Complex","9"
"Burnie Tennis Club","9"
"Clube de Tenis do Porto","9"
"Miki Disaster Management Park","9"
"Wojska Polskiego","9"
"TC Rüppurr","9"
"Club Tennis Els Gorchs","9"
"Centrul National de Tenis","9"
"La Caja Magica","9"
"International Tennis Hall of Fame","9"
"Fitzerald Tennis Center Rock Creek Park","9"
"Club de Tenis Santa Cruz","9"
"Mamushidani Tennis Courts, Keio University","9"
"Country Club Aixois","9"
"C.D. Open Tenis Ciudad de Pozoblanco","9"
"Akademia Tenisowa Tenis Kozerki","9"
"Valletta Cambiaso ASD","9"
"Complejo Deportivo Pedro Muñoz","9"
"Sichuan International Tennis Center","9"
"Forestmeadows Tennis Center","8"
"CTC Corrientes Tennis Club","8"
"Parc ded Sports de Marville","8"
"El Club el Carmel","8"
"Sid And Hazel Dillon Tennis Center","8"
"Academy Zhangjiagang","8"
"Tennis Club Triestino","8"
"Guangzhou Tianhe Sports Center","8"
"Kitzbühel Tennis Club Sportfeld 2","8"
"Istiklol Tennis Club","8"
"Bluesun Tennis Center","8"
"Jurerê Sports Center","8"
"USTA National Campus","8"
"Parque Parota","8"
"Public Security Officers Club","8"
"Arena Chisinau Tennis Club","8"
"Stade Toulousain Tennis Club","8"
"ATP Stadion Goran Ivanisevic","8"
"NTC Arena","8"
"Franklin Creek Tennis Center","8"
"Tennis Club ""Tennispark""","8"
"Club Deportivo Potosino","8"
"Yang-Ming Tennis Centre","8"
"Centro Deportivo Chapultepec","8"
"Club Compensar Sede 220","8"
"The Boar's Head Sports Club","8"
"Sporting Club Verona","8"
"Varazdin Arena","8"
"Liberec Tennis Club","8"
"Tennis Club de Lyon","8"
"Tennis Palladio 98","8"
"Stade Iga","8"
"Corredor Turistico SJC-CSL","8"
"Club de Tenis Coquimbo","8"
"Complexe Jean Jaures","8"
"Utsubo Tennis Center","7"
"Graciosa Country Club","7"
"Palacio de Deportes Jose Maria Martin Carpena","7"
"Skip and Cindy Hogan Tennis Center","7"
"Canberra Tennis Centre","7"
"Club de Tennis La Bisbal Centre Esportiu","7"
"Ciric Sport Base","7"
"Karnataka State Lawn Tennis Association","7"
"Aspria Harbor Club","7"
"Tennis Sporting Club de Cassis Les Gorguettes","7"
"Tennis Academy El Cortijo Club De Campo","7"
"Ohio State Varsity Tennis Center","7"
