"competition_name","type","gender"
"UTR Loughborough M01","singles","men"
"UTR Lawrenceville W02","singles","women"
"UTR Gyor W02","singles","women"
"UTR Loughborough W01","singles","women"
"UTR Newport Beach W09","singles","women"
"UTR Kawaguchi M02","singles","men"
"UTR Manzanillo M03","singles","men"
"UTR College Station M01","singles","men"
"UTR Kawaguchi W02","singles","women"
"UTR Bucharest W02","singles","women"
"UTR Kawaguchi M03","singles","men"
"UTR Bucharest M02","singles","men"
"UTR Maria Lanzendorf M01","singles","men"
"UTR Newport Beach M06","singles","men"
"UTR Manzanillo M04","singles","men"
"UTR Kawaguchi W03","singles","women"
"UTR Bucharest W03","singles","women"
"UTR Craigieburn M03","singles","men"
"UTR Skopje M01","singles","men"
"UTR Carvoeiro M02","singles","men"
"UTR Boca Raton M05","singles","men"
"UTR Stockton M02","singles","men"
"UTR Craigieburn W03","singles","women"
"UTR Maria Lanzendorf W01","singles","women"
"UTR Carvoeiro W02","singles","women"
"UTR Stockton W01","singles","women"
"UTR Craigieburn M04","singles","men"
"UTR Carvoeiro M03","singles","men"
"UTR Newport Beach M07","singles","men"
"UTR Boca Raton W07","singles","women"
"UTR Craigieburn W04","singles","women"
"UTR Carvoeiro W03","singles","women"
"UTR Boca Raton M06","singles","men"
"UTR Urayasu M01","singles","men"
"UTR Pazardzhik M01","singles","men"
"UTR Budapest M01","singles","men"
"UTR Urbana M01","singles","men"
"UTR Tuscaloosa M01","singles","men"
"UTR Pazardzhik W01","singles","women"
"UTR Budapest W01","singles","women"
"UTR Urbana W01","singles","women"
"UTR Knoxville M01","singles","men"
"UTR Los Angeles M02","singles","men"
"UTR Lovedale M01","singles","men"
"UTR Trnava M01","singles","men"
"UTR Denver M01","singles","men"
"UTR Los Angeles W01","singles","women"
"UTR Lovedale W01","singles","women"
"UTR Trnava W01","singles","women"
"UTR Knoxville W01","singles","women"
"UTR Denver W01","singles","women"
"UTR Los Angeles M03","singles","men"
"UTR Lovedale M02","singles","men"
"UTR Glifada M01","singles","men"
"UTR Ahaus M01","singles","men"
"UTR Manchester M01","singles","men"
"UTR Winston-Salem M02","singles","men"
"UTR Los Angeles W02","singles","women"
"UTR Lovedale W02","singles","women"
"UTR Glifada W01","singles","women"
"UTR Ahaus W01","singles","women"
"UTR Manchester W01","singles","women"
"UTR Winston-Salem W02","singles","women"
"UTR PTT Sanmin District Men 02","singles","men"
"UTR PTT Bucharest Men 03","singles","men"
"UTR PTT Carvoeiro Men 04","singles","men"
"UTR PTT Calgary Men 01","singles","men"
"UTR PTT Manchester Men 02","singles","men"
"UTR PTT Atlanta Men 01","singles","men"
"UTR PTT Bucharest Women 04","singles","women"
"UTR PTT Carvoeiro Women 04","singles","women"
"UTR PTT Manchester Women 02","singles","women"
"UTR PTT Sanmin District Women 02","singles","women"
"UTR PTT Atlanta Women 01","singles","women"
"ATP Challenger Sofia 2, Bulgaria Men Singles","singles","men"
"ATP Challenger Sofia 2, Bulgaria Men Doubles","doubles","men"
"UTR PTT Boca Raton Men 07","singles","men"
"UTR PTT Fukui Men 01","singles","men"
"UTR PTT Skopje Men 02","singles","men"
"UTR PTT Carvoeiro Men 05","singles","men"
"UTR PTT Newport Beach Men 08","singles","men"
"UTR PTT Calgary Men 02","singles","men"
"UTR PTT Knoxville Men 02","singles","men"
"UTR PTT Skopje Women 01","singles","women"
"UTR PTT Carvoeiro Women 05","singles","women"
"UTR PTT Knoxville Women 02","singles","women"
"UTR PTT Norman Men 02","singles","men"
"UTR PTT Skopje Men 03","singles","men"
"UTR PTT Tuscaloosa Men 02","singles","men"
"UTR PTT Jacksonville Men 01","singles","men"
"UTR PTT Norman Women 02","singles","women"
"UTR PTT Skopje Women 02","singles","women"
"UTR PTT Newport Beach Women 10","singles","women"
"UTR PTT Jacksonville Women 01","singles","women"
"UTR PTT Kaohsiung City Men +H 01","singles","men"
"UTR PTT Olomouc Men 05","singles","men"
"UTR PTT Waco Men 01","singles","men"
"UTR PTT Kaohsiung City Women +H 01","singles","women"
"UTR PTT Olomouc Women 04","singles","women"
"UTR PTT Waco Women 01","singles","women"
"UTR PTT Brisbane Men 01","singles","men"
"UTR PTT Pazardzhik Men 02","singles","men"
"UTR PTT Umag Men 01","singles","men"
"UTR PTT Boston Men 01","singles","men"
"UTR PTT Newport Beach Men 09","singles","men"
"UTR PTT Brisbane Women 01","singles","women"
"UTR PTT Pazardzhik Women 02","singles","women"
"UTR PTT Stillwater Women 01","singles","women"
"UTR PTT Brisbane Men 02","singles","men"
