"venue_name","timezone"
"Cancha 1","America/Santiago"
"Cancha Central","America/Santiago"
"Court 5","America/Santiago"
"Court 4","America/New_York"
"Arthur Ashe Stadium","America/New_York"
"Court 5","America/New_York"
"Court 6","America/New_York"
"Court 7","America/New_York"
"Court 8","America/New_York"
"Court 9","America/New_York"
"Court 10","America/New_York"
"Court 11","America/New_York"
"Court 12","America/New_York"
"Court 13","America/New_York"
"Court 14","America/New_York"
"Court 15","America/New_York"
"Court 16","America/New_York"
"Stadium 17","America/New_York"
"Louis Armstrong Stadium","America/New_York"
"Grandstand","America/New_York"
"MKG 1","Europe/Berlin"
"MKG 2","Europe/Berlin"
"Stadium Court","America/Los_Angeles"
"Court 1","America/Los_Angeles"
"Court 4","America/Los_Angeles"
"Center Court","America/Los_Angeles"
"Court 5","America/Los_Angeles"
"Court 2","America/Los_Angeles"
"Court 3","America/Los_Angeles"
"Kennedy-Grossman","America/Los_Angeles"
"Backer Mckenzie","America/Los_Angeles"
"Cancha 2","America/Bogota"
"Cancha 3","America/Bogota"
"Cancha 4","America/Bogota"
"Cancha Central","America/Bogota"
"Court 6","Asia/Almaty"
"Court 3","Asia/Almaty"
"Court 5","Asia/Almaty"
"Court 4","Asia/Almaty"
"Court 2","Asia/Almaty"
"Indoor 1","Asia/Almaty"
"Indoor 2","Asia/Almaty"
"Center Court","Brazil/East"
"Court 1","Brazil/East"
"Court 2","Brazil/East"
"Quadra 3","Brazil/East"
"Quadra 4","Brazil/East"
"Quadra Joao Lima","Brazil/East"
"Court 8","Brazil/East"
"Court 7","Brazil/East"
"Quadra 6","Brazil/East"
"Quadra 5","Brazil/East"
"Indoors","Brazil/East"
"Court 1","America/Los_Angeles"
"Court 2","America/Los_Angeles"
"Court 5","America/Los_Angeles"
"Court 6","America/Los_Angeles"
"Stadium","America/Los_Angeles"
"Court 3","America/Los_Angeles"
"Court 4","America/Los_Angeles"
"Center Court","America/Los_Angeles"
"Eve Zimmerman Tennis Center - Court 1","America/Los_Angeles"
"Eve Zimmerman Tennis Center - Court 5","America/Los_Angeles"
"Court 3","Europe/Paris"
"Eve Zimmerman Tennis Center - Court 3","America/Los_Angeles"
"Pista 2","Europe/Madrid"
"Estadio Central","America/Santo_Domingo"
"Cancha 1","America/Santo_Domingo"
"Cancha 2","America/Santo_Domingo"
"Court 8","America/Santo_Domingo"
"Cancha 7","America/Santo_Domingo"
"Court 9","America/Santo_Domingo"
"Court 10","America/Santo_Domingo"
"Court 11","America/Santo_Domingo"
"Court 12","America/Santo_Domingo"
"Court 5","America/Santo_Domingo"
"Estadio 4","America/Santo_Domingo"
"Estadio","America/Santo_Domingo"
"Estadio Mitur","America/Santo_Domingo"
"Cancha Avena Americana","America/Santo_Domingo"
"Cancha 3","America/Santo_Domingo"
"Estadio 3","America/Santo_Domingo"
"Estadio Sid","America/Santo_Domingo"
"Estadio Brugal","America/Santo_Domingo"
"Court 1","Europe/Brussels"
"Centre Court","Europe/Brussels"
"Court 2","Europe/Brussels"
"Court 3","Europe/Brussels"
"Center Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 7","America/Edmonton"
"Court 6","America/Edmonton"
"Court 9","America/Edmonton"
"Court 8","America/Edmonton"
"Court 5","America/Edmonton"
"National Bank Court","America/Edmonton"
"Court 4","America/Edmonton"
"Grandstand Court","America/Edmonton"
"Rogers Court","America/Edmonton"
"Center Court","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Indoor 4","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Indoor court 9","Asia/Shanghai"
"Estadio Nacional","America/Lima"
"Estadio Monumental","America/Lima"
"Estadio Alejandro Villanueva","America/Lima"
"Estadio Alberto Gallardo","America/Lima"
"Estadio Universidad San Marcos","America/Lima"
"Estadio Ivan Elias Moreno","America/Lima"
"Cancha  3","America/Lima"
"Estadio Municipal de Chorrillos","America/Lima"
"Court 4","America/Lima"
"Cancha 6","America/Lima"
"Court 7","America/Lima"
"Cancha 5","America/Lima"
"Court 8","America/Lima"
"Court 9","America/Lima"
"Court 13","America/Lima"
"Court 11","America/Lima"
"Court 10","America/Lima"
"Court 14","America/Lima"
"Court 16","America/Lima"
"Court 15","America/Lima"
"Court 12","America/Lima"
"Court 17","America/Lima"
"Court 6","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Indoor Court 1","Asia/Shanghai"
"Indoor Court 2","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Court 7","America/New_York"
"Court 9","America/New_York"
"Court 10","America/New_York"
"Center Court","America/New_York"
"Court 2","America/New_York"
"Court 1","America/New_York"
"Court 3 Stadium","America/New_York"
"Brenda Meyers Court","America/New_York"
"Cancha Central","America/Guayaquil"
"Estadio","America/Guayaquil"
"Cancha Raul Viver","America/Guayaquil"
"Cancha 1","America/Guayaquil"
"Cancha 2","America/Guayaquil"
"Court 10","America/Guayaquil"
"Central","Europe/Paris"
"Court Annexe","Europe/Paris"
"Cancha Central","America/Montevideo"
"Cancha 1","America/Montevideo"
"Cancha 2","America/Montevideo"
"Cancha 15","America/Montevideo"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 5","America/New_York"
"Court 1","America/New_York"
"Center Court","America/New_York"
"Stadium","America/New_York"
"Court 1","Europe/Paris"
"Centre","Europe/Paris"
"Court 2","Europe/Paris"
"Noevir Stadium","Asia/Tokyo"
"Center Court","Asia/Tokyo"
"Court F","Asia/Tokyo"
"Court G","Asia/Tokyo"
"Court E","Asia/Tokyo"
"Court C","Asia/Tokyo"
"Center Court","Asia/Kolkata"
"Court 1","Asia/Kolkata"
"Court 3","Asia/Kolkata"
"Sree Kanteerava Stadium","Asia/Kolkata"
"M.Chinnaswamy Stadium","Asia/Kolkata"
"Court 2","Asia/Kolkata"
"KSLTA Signature - Kingfisher Stadium","Asia/Kolkata"
"Cancha 8","America/Argentina/Buenos_Aires"
"Cancha 7","America/Argentina/Buenos_Aires"
"Court 1","America/Chicago"
"Court 2","America/Chicago"
"Court 5","America/Chicago"
"Court N2","America/Chicago"
"Court S2","America/Chicago"
"Court N5","America/Chicago"
"Court N6","America/Chicago"
"The Schwartz Court","America/Chicago"
"The Goldenberg Court","America/Chicago"
"Court N1","America/Chicago"
"Court 2","America/Chicago"
"Court 4","America/Chicago"
"Court 10","America/Chicago"
"Court 12","America/Chicago"
"Westside Tennis Club","America/Chicago"
"Indoor 1","America/Chicago"
"Indoor 2","America/Chicago"
"Centre Court","Asia/Kolkata"
"Court 1","Asia/Kolkata"
"Court 2","Asia/Kolkata"
"Court 3","Asia/Kolkata"
"Court 4","Asia/Kolkata"
"Pune Club Ground","Asia/Kolkata"
"Court 5","Asia/Kolkata"
"Via Delle Querce","Europe/Rome"
"Stadium Court","Pacific/Auckland"
"Court 4","Pacific/Auckland"
"Court 6","Pacific/Auckland"
"Court 1","Pacific/Auckland"
"Court 2","Pacific/Auckland"
"Court 3","Pacific/Auckland"
"Court 5","Pacific/Auckland"
"Court 8","Pacific/Auckland"
"Grandstand","Pacific/Auckland"
"Indoor 1","Pacific/Auckland"
"Indoor 3","Pacific/Auckland"
"Indoor 2","Pacific/Auckland"
"Centre Court","Pacific/Auckland"
"Indoor 6","Pacific/Auckland"
"Centre Court","Australia/Tasmania"
"COURT 8","Australia/Tasmania"
"West Court","Australia/Tasmania"
"Court 5","America/New_York"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Indoor Court 1","America/New_York"
"Lotto RLP Court","Europe/Berlin"
"VR Bank Court 1","Europe/Berlin"
"Centre Court","Europe/Berlin"
"Center","America/Los_Angeles"
"Stadium","America/Los_Angeles"
"Court 10","America/Los_Angeles"
"Court 8","America/Los_Angeles"
"Court 8","America/Los_Angeles"
"Court 8","America/Los_Angeles"
"Center Court","Australia/Tasmania"
"Court 4","Australia/Tasmania"
"Court 2","Australia/Tasmania"
"Court 6","Australia/Tasmania"
"Court 1","Australia/Tasmania"
"Court 3","Australia/Tasmania"
"Court 5","Australia/Tasmania"
"Cat Court","Australia/Tasmania"
"West Park Oval","Australia/Tasmania"
"Cancha Central","America/Montevideo"
"Cancha 1","America/Montevideo"
"Cancha 4","America/Montevideo"
"Cancha 2","America/Montevideo"
"Cancha 3","America/Montevideo"
"Central Colette Besson","Europe/Paris"
"Tennis Club De Bruz","Europe/Paris"
"Court 5","Europe/Paris"
"Court 4","Europe/Paris"
"Tennis Club De Bruz 4","Europe/Paris"
"Tennis Club De Bruz 5","Europe/Paris"
"Center Court","Australia/Tasmania"
"Court 4","Australia/Tasmania"
"Court 2","Australia/Tasmania"
"Court 5","Australia/Tasmania"
"Court 3","Australia/Tasmania"
"Court 8","Australia/Tasmania"
"Center Court","Asia/Bangkok"
"Court 2","Asia/Bangkok"
"Court 5","Asia/Bangkok"
"Court 3","Asia/Bangkok"
"Court 4","Asia/Bangkok"
"Court 1","Asia/Bangkok"
"Halle des Sports","Europe/Paris"
"Court Central","Europe/Paris"
"Annexe","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court Fred Le Bian","Europe/Paris"
"Court 4","America/New_York"
"Court 2","America/New_York"
"Center Court","America/New_York"
"Stadium","America/New_York"
"Court 2","Europe/Paris"
"Infinity Arena","Europe/Paris"
"Cancha Central","America/Argentina/Cordoba"
"Cancha 2","America/Argentina/Cordoba"
"Cancha 4","America/Argentina/Cordoba"
"Cancha 1","America/Argentina/Cordoba"
"Cancha 6","America/Argentina/Cordoba"
"Cancha 3","America/Argentina/Cordoba"
"Grandstand 1","America/Chicago"
"Grandstand 2","America/Chicago"
"Hamilton Family Stadium","America/Chicago"
"Court 1","America/Chicago"
"Court 2","America/Chicago"
"Asboth Jozsef","Europe/Budapest"
"Kormoczy Court","Europe/Budapest"
"Temesvari Court","Europe/Budapest"
"Center Court","Asia/Kolkata"
"Court 1","Asia/Kolkata"
"Court 2","Asia/Kolkata"
"Court 3","Asia/Kolkata"
"Court 4","Asia/Kolkata"
"Cancha Estadio","America/Bogota"
"Cancha 1","America/Bogota"
"Cancha 2","America/Bogota"
"Cancha 3","America/Bogota"
"Tourlaville 2","Europe/Paris"
"Center Court","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 5","Europe/Paris"
"Centre Court","Asia/Dubai"
"Court 1","Asia/Dubai"
"Court 3","Asia/Dubai"
"Court 6","Asia/Dubai"
"Court 7","Asia/Dubai"
"Court 2","Asia/Dubai"
"Estadio Metaxchange","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Stadium 2","America/Los_Angeles"
"Stadium 3","America/Los_Angeles"
"Stadium 4","America/Los_Angeles"
"Stadium 5","America/Los_Angeles"
"Stadium 6","America/Los_Angeles"
"Stadium 7","America/Los_Angeles"
"Stadium 8","America/Los_Angeles"
"Stadium 9","America/Los_Angeles"
"Stadium 1","America/Los_Angeles"
"Court 13","America/Los_Angeles"
"Court 15","America/Los_Angeles"
"Court 17","America/Los_Angeles"
"Court 18","America/Los_Angeles"
"Court 16","America/Los_Angeles"
"Court 19","America/Los_Angeles"
"Court 20","America/Los_Angeles"
"PC3","America/Los_Angeles"
"PC4","America/Los_Angeles"
"PC5","America/Los_Angeles"
"PC6","America/Los_Angeles"
"PC2","America/Los_Angeles"
"Court 1","Asia/Tokyo"
"Court 7","Asia/Tokyo"
"Court 8","Asia/Tokyo"
"Court 9","Asia/Tokyo"
"Indoor 6","Asia/Tokyo"
"Indoor 5","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court 4","Asia/Tokyo"
"Indoors 2","Asia/Tokyo"
"Central","Europe/Paris"
"Stadium","Asia/Shanghai"
"Court 10","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court 9","Asia/Shanghai"
"Court 11","Asia/Shanghai"
"Center Court","America/Phoenix"
"Court 3","America/Phoenix"
"Court 2","America/Phoenix"
"Court 4","America/Phoenix"
"Court 1","America/Phoenix"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Court 6","America/New_York"
"Court 7","America/New_York"
"Court 8","America/New_York"
"Court 9","America/New_York"
"Court 10","America/New_York"
"Grandstand","America/New_York"
"Stadium","America/New_York"
"Butch Buchholz","America/New_York"
"Cancha 1","America/Mexico_City"
"Center Court","America/Mexico_City"
"Court 1","America/Mexico_City"
"Court 5","America/Mexico_City"
"Court 2","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Court 4","America/Mexico_City"
"Court 3","America/Mexico_City"
"Estadio Akron de Tenis","America/Mexico_City"
"Abierto Akron Zapopan","America/Mexico_City"
"Akron Tennis Stadium","America/Mexico_City"
"Grandstand Caliente","America/Mexico_City"
"Campo Estadio","America/Bogota"
"Court 10","Europe/Prague"
"Court 12","Europe/Prague"
"Center Court","Europe/Prague"
"Court 1","Europe/Prague"
"Court 2","Europe/Prague"
"Court 3","Europe/Prague"
"Court 14","Europe/Prague"
"Center Court","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Indoor C8","Asia/Shanghai"
"Indoor C9","Asia/Shanghai"
"Court 9 (indoor)","Asia/Shanghai"
"Court 7 (indoor)","Asia/Shanghai"
"Court 8 (indoor)","Asia/Shanghai"
"Court 10 (indoor)","Asia/Shanghai"
"Indoor Court 10","Asia/Shanghai"
"Indoor Court 7","Asia/Shanghai"
"Indoor Court 9","Asia/Shanghai"
"Indoor Court 8","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court Central","Africa/Casablanca"
"Court 1","Africa/Casablanca"
"Court 2","Africa/Casablanca"
"Court 3","Africa/Casablanca"
"Manolo Santana Stadium","Europe/Madrid"
"Arantxa Sanchez Stadium","Europe/Madrid"
"Stadium 3","Europe/Madrid"
"Court 5","Europe/Madrid"
"Court 6","Europe/Madrid"
"Court 7","Europe/Madrid"
"Court 4","Europe/Madrid"
"Court 8","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 3","America/Chicago"
"Court 1","America/Chicago"
"Court 5","America/Chicago"
"Court 6","America/Chicago"
"Court 8","America/Chicago"
"Court 9","America/Chicago"
"Court 7","America/Chicago"
"Stadium Court","America/Chicago"
"Indoor 3","America/Chicago"
"Court 13","America/Chicago"
"Court 11","America/Chicago"
"Court 4","Europe/Budapest"
"Court 5","Europe/Budapest"
"Court 6","Europe/Budapest"
"Centre Court","Europe/Budapest"
"Court 1","Europe/Budapest"
"Court 2","Europe/Budapest"
"Court 9","Europe/Budapest"
"Court 7","Europe/Budapest"
"Court 8","Europe/Budapest"
"Court 3","Europe/Budapest"
"National Tennis Center - NEK - Court 03","Europe/Budapest"
"National Tennis Center - NEK - Court 04","Europe/Budapest"
"National Tennis Center - NEK - Court 01","Europe/Budapest"
"National Tennis Center - NEK - Court 02","Europe/Budapest"
"National Tennis Center - NEK - Court 05","Europe/Budapest"
"National Tennis Center - NEK - Court 06","Europe/Budapest"
"Central","Europe/Lisbon"
"Centralito","Europe/Lisbon"
"Court 1","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court 3","Europe/Lisbon"
"Court 4","Europe/Lisbon"
"Estadio Millennium","Europe/Lisbon"
"Court Cascais","Europe/Lisbon"
"Court 6","Europe/Lisbon"
"Court CTE","Europe/Lisbon"
"Court 1","Europe/Paris"
"Court Central","Europe/Paris"
"Plaine de Jeux de Gerland","Europe/Paris"
"Court 3","Europe/Paris"
"Enbw Court","Europe/Berlin"
"Grandstand","Europe/Berlin"
"Mercedes Court","Europe/Berlin"
"Center Court","Europe/Berlin"
"Match Court 2","Europe/Berlin"
"Colosseum","Europe/Berlin"
"Stade Pierre Mauroy","Europe/Paris"
"Central","Europe/Paris"
"Court 3","Europe/Paris"
"Court 5","Europe/Paris"
"Court 1","Europe/Paris"
"Pista 2","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Pista 6","Europe/Madrid"
"Pista 7","Europe/Madrid"
"Pista Carlos Alcaraz","Europe/Madrid"
"Central","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Indoor 1","Europe/Paris"
"Stadium","Asia/Taipei"
"I Bilanciai (C1)","Europe/Rome"
"Altitud (C2)","Europe/Rome"
"Pista Central","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Indoor 5","Europe/Paris"
"Cancha 4","America/Bogota"
"Campo 1","America/Bogota"
"Campo 2","America/Bogota"
"Campo 5","America/Bogota"
"Campo 3","America/Bogota"
"Cancha Central","America/Bogota"
"Campo Directv","America/Bogota"
"Grandstand","America/Bogota"
"James T. Driscoll","America/New_York"
"Pnc","America/New_York"
"Ed Smith Stadium","America/New_York"
"Cancha 8","America/Mexico_City"
"Cancha Central","America/Mexico_City"
"Cancha 4","America/Mexico_City"
"Cancha 3","America/Mexico_City"
"Estadio","America/Mexico_City"
"Estadio BMW","America/Mexico_City"
"Cancha 7","America/Mexico_City"
"Grandstand","America/Mexico_City"
"Court Central","Africa/Tunis"
"Court 1","Africa/Tunis"
"Court 5","Africa/Tunis"
"Court 7","Africa/Tunis"
"Court 9","Africa/Tunis"
"Court Aziz Zouhir","Africa/Tunis"
"Court 6","Africa/Tunis"
"Court 3","Europe/Helsinki"
"Court 9","Europe/Helsinki"
"Court 8","Europe/Helsinki"
"Court 4","Europe/Helsinki"
"Court 1","Europe/Helsinki"
"Court 7","Europe/Helsinki"
"Court 6","Europe/Helsinki"
"Center Court","Asia/Seoul"
"Show Court","Asia/Seoul"
"Court 1","Asia/Seoul"
"Court 3","Asia/Seoul"
"Court 2","Asia/Seoul"
"Court 4","Asia/Seoul"
"Indoor 2","Asia/Seoul"
"Indoor 4","Asia/Seoul"
"Court 5","Asia/Seoul"
"Court 8","Asia/Seoul"
"Center Court","Asia/Tashkent"
"Court 1","Asia/Tashkent"
"Court 2","Asia/Tashkent"
"Court 3","Asia/Tashkent"
"Court 4","Asia/Tashkent"
"Hortkorn Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 7","Europe/Berlin"
"Stauwehrhalle","Europe/Berlin"
"Court 4","Europe/Berlin"
"Estadio CIF","Europe/Lisbon"
"Court Lisboa","Europe/Lisbon"
"Court Belem","Europe/Lisbon"
"Court 5","Europe/Lisbon"
"Court 7","Europe/Lisbon"
"Court Central","Europe/Lisbon"
"Court 9","Europe/Lisbon"
"Court 8","Europe/Lisbon"
"Court 6","Europe/Lisbon"
"Center Court","Europe/Lisbon"
"Court 1","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court 3","Europe/Lisbon"
"Court 4","Europe/Lisbon"
"Indoor 1","Europe/Lisbon"
"Indoor 2","Europe/Lisbon"
"Indoor 3","Europe/Lisbon"
"Alaaddin Karagoz","Europe/Istanbul"
"Duygu Aksit Oal","Europe/Istanbul"
"Stadium","America/New_York"
"John Harris Court","America/New_York"
"Match Court 1","America/New_York"
"Match Court 2","America/New_York"
"Center Court","America/New_York"
"Court 3","America/New_York"
"Grandstand","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"P 1","America/Mexico_City"
"Stadium","America/Mexico_City"
"Center Court","America/Mexico_City"
"P2","America/Mexico_City"
"Estadio Pegaso","America/Mexico_City"
"Centre Court","Europe/Zurich"
"Court 1","Europe/Zurich"
"Court 2","Europe/Zurich"
"Court 2","Europe/Berlin"
"Court 5","Europe/Berlin"
"Court 8","Europe/Berlin"
"Court 9","Europe/Berlin"
"Court 6","Europe/Berlin"
"Court 3","Europe/Berlin"
"Centre Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Center Court","America/Los_Angeles"
"Courtside Club 16","America/Los_Angeles"
"Stadium","America/Los_Angeles"
"Court 1","America/Los_Angeles"
"Court 2","America/Los_Angeles"
"Court 3","America/Los_Angeles"
"Court Rogers","America/Toronto"
"Court 9","America/Toronto"
"Court 5","America/Toronto"
"Court 2","America/Toronto"
"Court 10","America/Toronto"
"Court 6","America/Toronto"
"Court 7","America/Toronto"
"Court Central","America/Toronto"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 5","Europe/Rome"
"Court 4","Europe/Rome"
"Court 3","Europe/Rome"
"Indoor","Europe/Rome"
"Indoor 6","Europe/Rome"
"Indoor 12","Europe/Madrid"
"Indoor 11","Europe/Madrid"
"Pista Central","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista E.Mandarino","Europe/Madrid"
"Pista Mercedes-Benz","Europe/Madrid"
"Fargona Stadium","Asia/Tashkent"
"Centre Court","Asia/Tashkent"
"Court 2","Asia/Tashkent"
"Court 1","Asia/Tashkent"
"Court 4","Asia/Tashkent"
"Court 5","Asia/Tashkent"
"Court 6","Asia/Tashkent"
"Court 7","Asia/Tashkent"
"Central","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Indoor 2","Europe/Paris"
"Indoor 3","Europe/Paris"
"Center Court","Europe/Paris"
"Court 3","Europe/Paris"
"Indoor 1","Europe/Paris"
"Indoor 3","Europe/Paris"
"Indoor 4","Europe/Paris"
"Center Court","Europe/Rome"
"Grandstand","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 2","Europe/London"
"Centre Court","Europe/London"
"Court 1","Europe/London"
"Court 6","Europe/London"
"Court 4","Europe/London"
"Court 5","Europe/London"
"Court 7","Europe/London"
"Court 3","Europe/London"
"Indoor Court 5","Europe/London"
"Indoor Court 3","Europe/London"
"Indoor Court 1","Europe/London"
"Indoor Court 4","Europe/London"
"Show Court 1","Europe/London"
"Show Court 2","Europe/London"
"Centre Court","Europe/Bratislava"
"Court 3","Europe/Bratislava"
"Court 2","Europe/Bratislava"
"Court 8","Europe/Bratislava"
"Court 7","Europe/Bratislava"
"Court 5","Europe/Bratislava"
"Court 9","Europe/Bratislava"
"Court 10","Europe/Bratislava"
"Grandstand","Europe/Rome"
"Court 13","Europe/Rome"
"Center Court","Europe/Rome"
"Court 10","Europe/Rome"
"Court 14","Europe/Rome"
"Court 16","Europe/Rome"
"Court 15","Europe/Rome"
"Centrale","Europe/Rome"
"Grandstand","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 18","America/New_York"
"Court P6","America/New_York"
"Indoor 12","America/New_York"
"Indoor 5","America/New_York"
"Indoor 3","America/New_York"
"Stadium Court 1","America/New_York"
"Stadium Court 2","America/New_York"
"Court 3","America/New_York"
"Court 5","America/New_York"
"Court 7","America/New_York"
"Court 8","America/New_York"
"Court 10","America/New_York"
"Court 12","America/New_York"
"Court 1","America/New_York"
"Court 6","America/New_York"
"Central Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Court 12","Asia/Shanghai"
"Court 11","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"CC","Asia/Shanghai"
"Centre Court","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Indoor 4","Asia/Shanghai"
"Court 10","Asia/Shanghai"
"Court 9","Asia/Shanghai"
"Court 11","Asia/Shanghai"
"Court 12","Asia/Shanghai"
"Court Central","Europe/Paris"
"Court 1","Europe/Paris"
"Court 3","Europe/Paris"
"Court 5","Asia/Shanghai"
"Court Patrice Dominguez","Europe/Paris"
"Court 2","Europe/Paris"
"Court 1","Asia/Tokyo"
"Court 2","Asia/Tokyo"
"Center Court","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court 4","Asia/Tokyo"
"Court 8","Asia/Tokyo"
"Court 9","Asia/Tokyo"
"Colosseum","Asia/Tokyo"
"Indoor 1","Asia/Tokyo"
"Indoor 3","Asia/Tokyo"
"Indoor Stadium","Asia/Tokyo"
"Rakuten Mobile Arena","Asia/Tokyo"
"Court 5","Asia/Tokyo"
"Court 6","Asia/Tokyo"
"Court 7","Asia/Tokyo"
"Court 10","Asia/Tokyo"
"Court 11","Asia/Tokyo"
"Show Court","Asia/Tokyo"
"Indoor Court 5","Asia/Tokyo"
"Kinoshita Group Arena","Asia/Tokyo"
"Indoor 6","Asia/Tokyo"
"Shanghai Stadium","Asia/Shanghai"
"Grandstand","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Stadium Court","Asia/Shanghai"
"Centre Court","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Show Court","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court A","Asia/Shanghai"
"Court B","Asia/Shanghai"
"Court C","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Indoor East","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Show Court 3","Asia/Shanghai"
"Grandstand 2","Asia/Shanghai"
"Indoor A1","Asia/Shanghai"
"Indoor A3","Asia/Shanghai"
"Center Court","Asia/Seoul"
"Court 2","Asia/Seoul"
"Court 13","Asia/Seoul"
"Court 12","Asia/Seoul"
"CENTRE","Asia/Tashkent"
"COURT 3","Asia/Tashkent"
"COURT 4","Asia/Tashkent"
"COURT 5","Asia/Tashkent"
"Court 1","Asia/Tashkent"
"Court 2","Asia/Tashkent"
"Campo Centrale","Europe/Rome"
"Campo 11","Europe/Rome"
"Campo 12","Europe/Rome"
"Campo 13","Europe/Rome"
"Campo 14","Europe/Rome"
"Court 6","Europe/Rome"
"Court 7","Europe/Rome"
"Court 8","Europe/Rome"
"Centre Court","Europe/Rome"
"Serena Wines 1881","Europe/Rome"
"Acqua Maniva","Europe/Rome"
"Court 13","Europe/Rome"
"Court 12","Europe/Rome"
"Serena Maniva Centre","Europe/Rome"
"Table 1","Europe/Prague"
"Table 2","Europe/Prague"
"Table 3","Europe/Prague"
"Table 4","Europe/Prague"
"Table 5","Europe/Prague"
"Table 6","Europe/Prague"
"Center","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court 9","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Lotus","Asia/Shanghai"
"Moon","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Brad Drewett","Asia/Shanghai"
"Capital Group Diamond","Asia/Shanghai"
"Stade de la Source","Europe/Paris"
"La Foret 4","Europe/Paris"
"La Foret 1","Europe/Paris"
"Grandstand","Europe/Rome"
"Court 2","Europe/Vienna"
"Court 3","Europe/Vienna"
"Show Court","Europe/Vienna"
"Stadium Court","America/New_York"
"Court 1","America/New_York"
"Eve Zimmerman Court","America/New_York"
"Court 6","America/New_York"
"Court 7","America/New_York"
"Alumni Hall","America/New_York"
"Campus Field","America/New_York"
"Court 2","America/New_York"
"Court 4","America/New_York"
