"venue_name","timezone"
"Court 17","Europe/London"
"Centre Court","Europe/London"
"Court 2","Europe/London"
"Court 5","Europe/London"
"Court 2","Europe/Paris"
"Court 6","Europe/Paris"
"Court 7","Europe/Paris"
"Court 8","Europe/Paris"
"Court 9","Europe/Paris"
"Court 10","Europe/Paris"
"Court 11","Europe/Paris"
"Court 12","Europe/Paris"
"Court 13","Europe/Paris"
"Court 14","Europe/Paris"
"Court 15","Europe/Paris"
"Court 16","Europe/Paris"
"Court Philippe Chatrier","Europe/Paris"
"Court Suzanne Lenglen","Europe/Paris"
"Court 3","Europe/Paris"
"Court 4","Europe/Paris"
"Court 5","Europe/Paris"
"Court Simonne Mathieu","Europe/Paris"
"Court 3","Australia/Melbourne"
"Court 4","Australia/Melbourne"
"Court 5","Australia/Melbourne"
"Court 6","Australia/Melbourne"
"Court 7","Australia/Melbourne"
"Court 8","Australia/Melbourne"
"Court 10","Australia/Melbourne"
"Court 11","Australia/Melbourne"
"Court 9","Australia/Melbourne"
"TC Pau 1","Europe/Paris"
"Court 12","Australia/Melbourne"
"Court 13","Australia/Melbourne"
"Court 14","Australia/Melbourne"
"Court 15","Australia/Melbourne"
"Rod Laver Arena","Australia/Melbourne"
"John Cain Arena","Australia/Melbourne"
"Margaret Court Arena","Australia/Melbourne"
"1573 Arena","Australia/Melbourne"
"Court 18","Australia/Melbourne"
"Court 19","Australia/Melbourne"
"Court 21","Australia/Melbourne"
"Court 20","Australia/Melbourne"
"Court 22","Australia/Melbourne"
"Court 16","Australia/Melbourne"
"Court 17","Australia/Melbourne"
"Kia Arena","Australia/Melbourne"
"Indoor West","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Center Court","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Stadium","America/New_York"
"Show Court 1","Australia/South"
"Court 2","Australia/South"
"Court 3","Australia/South"
"Court 4","Australia/South"
"Centre Court","Australia/South"
"Stadium Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"AJC Grandstand Court","America/New_York"
"Center","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Stadium","America/New_York"
"Center Court 1","America/New_York"
"Center Court 2","America/New_York"
"Court 6","America/New_York"
"Indoor Court 1","America/New_York"
"Cancha Central","America/Guayaquil"
"Court 5","America/Guayaquil"
"Court 2","America/Guayaquil"
"Court 6","America/Guayaquil"
"Court 4","America/Guayaquil"
"Court 1","America/Guayaquil"
"Court 3","America/Guayaquil"
"Court 14","America/Guayaquil"
"Court 15","America/Guayaquil"
"Court 16","America/Guayaquil"
"Court 11","America/Guayaquil"
"Court 7","America/Guayaquil"
"Court 8","America/Guayaquil"
"Court 12","America/Guayaquil"
"Court 13","America/Guayaquil"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Center","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Stadium","Asia/Shanghai"
"Court M3","Asia/Shanghai"
"Court M5","Asia/Shanghai"
"Court M2","Asia/Shanghai"
"Covered Court 2","Asia/Shanghai"
"Covered Court 4","Asia/Shanghai"
"Court 14","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Estadio 2","America/Argentina/Buenos_Aires"
"Court 1","Europe/Paris"
"Estadio 3","America/Argentina/Buenos_Aires"
"Cancha 10","America/Argentina/Buenos_Aires"
"Cancha 11","America/Argentina/Buenos_Aires"
"Cancha 2","America/Argentina/Buenos_Aires"
"Court 14","America/Argentina/Buenos_Aires"
"Cancha Central","America/Argentina/Buenos_Aires"
"Cancha  4","America/Argentina/Buenos_Aires"
"Cancha 5","America/Argentina/Buenos_Aires"
"Court Guillermo Vilas","America/Argentina/Buenos_Aires"
"Cancha 1","America/Argentina/Buenos_Aires"
"Court 2","America/Argentina/Buenos_Aires"
"Court 1","America/Argentina/Buenos_Aires"
"Court 3","America/Argentina/Buenos_Aires"
"Cancha 8","America/Argentina/Buenos_Aires"
"Court 9","America/Argentina/Buenos_Aires"
"Court 10","America/Argentina/Buenos_Aires"
"Court 7","America/Argentina/Buenos_Aires"
"Court 8","America/Argentina/Buenos_Aires"
"Court 11","America/Argentina/Buenos_Aires"
"Cancha 9","America/Argentina/Buenos_Aires"
"Cancha 12","America/Argentina/Buenos_Aires"
"Court 6","America/Argentina/Buenos_Aires"
"Court 4","America/Argentina/Buenos_Aires"
"Court 5","America/Argentina/Buenos_Aires"
"Cancha 7","America/Argentina/Buenos_Aires"
"Court 12","America/Argentina/Buenos_Aires"
"Court Central","America/Argentina/Buenos_Aires"
"Cancha Central","America/Argentina/Buenos_Aires"
"Court Guillermo Villas","America/Argentina/Buenos_Aires"
"Stadium","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Court 6","America/New_York"
"Court 3","America/New_York"
"CENTRAL","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Stadium","Europe/Paris"
"Court 1","Europe/Moscow"
"Court 2","Europe/Moscow"
"Center Court","Asia/Tokyo"
"Court 1","Asia/Tokyo"
"Court 8","Asia/Tokyo"
"Court 9","Asia/Tokyo"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Indoor 4","Asia/Shanghai"
"Court 10","Asia/Shanghai"
"Court 9","Asia/Shanghai"
"Court 8","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Centre Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Ken Rosewall Arena","Australia/Sydney"
"Court 1","Australia/Sydney"
"Court 2","Australia/Sydney"
