"competition_name","category_name"
"ITF Germany F8, Men Singles","ITF Men"
"ITF Germany F8, Men Doubles","ITF Men"
"ITF Ireland F1, Men Singles","ITF Men"
"ITF Ireland F1, Men Doubles","ITF Men"
"ITF Spain F22, Men Singles","ITF Men"
"ITF Spain F22, Men Doubles","ITF Men"
"ITF Turkey F26, Men Singles","ITF Men"
"ITF Turkey F26, Men Doubles","ITF Men"
"ITF USA F24, Men Singles","ITF Men"
"ITF USA F24, Men Doubles","ITF Men"
"ITF Austria F3, Men Singles","ITF Men"
"ITF Austria F3, Men Doubles","ITF Men"
"ITF Belgium F5, Men Singles","ITF Men"
"ITF Belgium F5, Men Doubles","ITF Men"
"ITF Colombia F1, Men Singles","ITF Men"
"ITF Colombia F1, Men Doubles","ITF Men"
"ITF Egypt F21, Men Singles","ITF Men"
"ITF Egypt F21, Men Doubles","ITF Men"
"ITF France F16, Men Singles","ITF Men"
"ITF France F16, Men Doubles","ITF Men"
"ITF Georgia F3, Men Singles","ITF Men"
"ITF Georgia F3, Men Doubles","ITF Men"
"ITF Italy F22, Men Singles","ITF Men"
"ITF Italy F22, Men Doubles","ITF Men"
"ITF Lithuania F1, Men Singles","ITF Men"
"ITF Lithuania F1, Men Doubles","ITF Men"
"ITF Morocco F1, Men Singles","ITF Men"
"ITF Morocco F1, Men Doubles","ITF Men"
"ITF Poland F6, Men Singles","ITF Men"
"ITF Poland F6, Men Doubles","ITF Men"
"ITF Portugal F12, Men Singles","ITF Men"
"ITF Portugal F12, Men Doubles","ITF Men"
"ITF Spain F3, Men Singles","ITF Men"
"ITF Spain F3, Men Doubles","ITF Men"
"ITF Tunisia F4, Men Singles","ITF Men"
"ITF Tunisia F4, Men Doubles","ITF Men"
"ITF China F14, Men Singles","ITF Men"
"ITF China F14, Men Doubles","ITF Men"
"ITF France F17, Men Singles","ITF Men"
"ITF France F17, Men Doubles","ITF Men"
"ITF Ireland F2, Men Singles","ITF Men"
"ITF Ireland F2, Men Doubles","ITF Men"
"ITF Italy F23, Men Singles","ITF Men"
"ITF Italy F23, Men Doubles","ITF Men"
"ITF Spain F23, Men Singles","ITF Men"
"ITF Spain F23, Men Doubles","ITF Men"
"ITF USA F25, Men Singles","ITF Men"
"ITF USA F25, Men Doubles","ITF Men"
"ITF Austria F4, Men Singles","ITF Men"
"ITF Austria F4, Men Doubles","ITF Men"
"ITF Belgium F6, Men Singles","ITF Men"
"ITF Belgium F6, Men Doubles","ITF Men"
"ITF Colombia F2, Men Singles","ITF Men"
"ITF Colombia F2, Men Doubles","ITF Men"
"ITF Egypt F22, Men Singles","ITF Men"
"ITF Egypt F22, Men Doubles","ITF Men"
"ITF Estonia F1, Men Singles","ITF Men"
"ITF Estonia F1, Men Doubles","ITF Men"
"ITF Macedonia F1, Men Singles","ITF Men"
"ITF Macedonia F1, Men Doubles","ITF Men"
"ITF Morocco F2, Men Singles","ITF Men"
"ITF Morocco F2, Men Doubles","ITF Men"
"ITF Poland F7, Men Singles","ITF Men"
"ITF Poland F7, Men Doubles","ITF Men"
"ITF Portugal F13, Men Singles","ITF Men"
"ITF Portugal F13, Men Doubles","ITF Men"
"ITF Romania F7, Men Singles","ITF Men"
"ITF Romania F7, Men Doubles","ITF Men"
"ITF Russia F4, Men Singles","ITF Men"
"ITF Russia F4, Men Doubles","ITF Men"
"ITF Slovakia F1, Men Singles","ITF Men"
"ITF Slovakia F1, Men Doubles","ITF Men"
"ITF Turkiye F27, Men Singles","ITF Men"
"ITF Turkiye F27, Men Doubles","ITF Men"
"ITF Turkey F4, Men Doubles","ITF Men"
"ITF Egypt F4, Men Doubles","ITF Men"
"ITF Great Britain F2, Men Doubles","ITF Men"
"ITF Indonesia F1, Men Doubles","ITF Men"
"ITF Latvia F1, Men Singles","ITF Men"
"ITF Latvia F1, Men Doubles","ITF Men"
"ITF Portugal F14, Men Singles","ITF Men"
"ITF Portugal F14, Men Doubles","ITF Men"
"ITF Romania F8, Men Doubles","ITF Men"
"ITF Romania F8, Men Singles","ITF Men"
"ITF Turkiye F28, Men Singles","ITF Men"
"ITF Turkiye F28, Men Doubles","ITF Men"
"ITF USA F26, Men Doubles","ITF Men"
"ITF USA F26, Men Singles","ITF Men"
"ITF Austria F5, Men Singles","ITF Men"
"ITF Austria F5, Men Doubles","ITF Men"
"ITF Belgium F7, Men Doubles","ITF Men"
"ITF Belgium F7, Men Singles","ITF Men"
"ITF Colombia F3, Men Singles","ITF Men"
"ITF Colombia F3, Men Doubles","ITF Men"
"ITF Egypt F23, Men Singles","ITF Men"
"ITF Egypt F23, Men Doubles","ITF Men"
"ITF Macedonia F2, Men Doubles","ITF Men"
"ITF Macedonia F2, Men Singles","ITF Men"
"ITF Germany F9, Men Singles","ITF Men"
"ITF Germany F9, Men Doubles","ITF Men"
"ITF Morocco F3, Men Singles","ITF Men"
"ITF Morocco F3, Men Doubles","ITF Men"
"ITF Poland F8, Men Singles","ITF Men"
"ITF Poland F8, Men Doubles","ITF Men"
"ITF Russia F5, Men Singles","ITF Men"
"ITF Russia F5, Men Doubles","ITF Men"
"ITF Slovakia F2, Men Doubles","ITF Men"
"ITF Slovakia F2, Men Singles","ITF Men"
"ITF Thailand F4, Men Singles","ITF Men"
"ITF Thailand F4, Men Doubles","ITF Men"
"ITF Spain F4, Men Singles","ITF Men"
"ITF Tunisia F5, Men Doubles","ITF Men"
"ITF Turkey F5, Men Doubles","ITF Men"
"ITF China F1, Men Singles","ITF Men"
"ITF China F1, Men Doubles","ITF Men"
"ITF Egypt F5, Men Singles","ITF Men"
"ITF Egypt F5, Men Doubles","ITF Men"
"ITF Great Britain F3, Men Singles","ITF Men"
"ITF Great Britain F3, Men Doubles","ITF Men"
"ITF India F1, Men Singles","ITF Men"
"ITF India F1, Men Doubles","ITF Men"
"ITF Spain F5, Men Singles","ITF Men"
"ITF Spain F5, Men Doubles","ITF Men"
"ITF Tunisia F6, Men Singles","ITF Men"
"ITF Tunisia F6, Men Doubles","ITF Men"
"ITF Italy F25, Men Singles","ITF Men"
"ITF Italy F25, Men Doubles","ITF Men"
"ITF USA F27, Men Singles","ITF Men"
"ITF USA F27, Men Doubles","ITF Men"
"ITF Austria F6, Men Singles","ITF Men"
"ITF Austria F6, Men Doubles","ITF Men"
"ITF Belarus F1, Men Singles","ITF Men"
"ITF Belarus F1, Men Doubles","ITF Men"
"ITF Belgium F8, Men Singles","ITF Men"
"ITF Belgium F8, Men Doubles","ITF Men"
"ITF Finland F2, Men Singles","ITF Men"
"ITF Finland F2, Men Doubles","ITF Men"
"ITF Germany F10, Men Singles","ITF Men"
"ITF Germany F10, Men Doubles","ITF Men"
"ITF Portugal F15, Men Singles","ITF Men"
"ITF Portugal F15, Men Doubles","ITF Men"
"ITF Romania F9, Men Singles","ITF Men"
"ITF Romania F9, Men Doubles","ITF Men"
"ITF Russia F6, Men Singles","ITF Men"
"ITF Russia F6, Men Doubles","ITF Men"
"ITF Serbia F1, Men Singles","ITF Men"
"ITF Serbia F1, Men Doubles","ITF Men"
"ITF Slovakia F3, Men Singles","ITF Men"
"ITF Slovakia F3, Men Doubles","ITF Men"
"ITF Thailand F5, Men Singles","ITF Men"
"ITF Thailand F5, Men Doubles","ITF Men"
"ITF Turkiye F29, Men Singles","ITF Men"
"ITF Turkiye F29, Men Doubles","ITF Men"
"ITF Turkey F6, Men Singles","ITF Men"
"ITF Turkey F6, Men Doubles","ITF Men"
"ITF USA F7, Men Singles","ITF Men"
"ITF USA F7, Men Doubles","ITF Men"
"ITF China F2, Men Singles","ITF Men"
"ITF China F2, Men Doubles","ITF Men"
"ITF Tunisia F7, Men Singles","ITF Men"
"ITF Tunisia F7, Men Doubles","ITF Men"
"ITF Egypt F6, Men Singles","ITF Men"
"ITF Egypt F6, Men Doubles","ITF Men"
"ITF Turkey F7, Men Singles","ITF Men"
"ITF Turkey F7, Men Doubles","ITF Men"
"ITF USA F8, Men Singles","ITF Men"
"ITF USA F8, Men Doubles","ITF Men"
"ITF Indonesia F3, Men Singles","ITF Men"
"ITF Indonesia F3, Men Doubles","ITF Men"
"ITF Canada F1, Men Singles","ITF Men"
"ITF Canada F1, Men Doubles","ITF Men"
"ITF France F4, Men Singles","ITF Men"
"ITF France F4, Men Doubles","ITF Men"
"ITF Italy F2, Men Singles","ITF Men"
"ITF Italy F2, Men Doubles","ITF Men"
"ITF China F3, Men Singles","ITF Men"
"ITF China F3, Men Doubles","ITF Men"
"ITF Egypt F7, Men Doubles","ITF Men"
"ITF Portugal F1, Men Singles","ITF Men"
"ITF Tunisia F8, Men Doubles","ITF Men"
"ITF Turkey F8, Men Doubles","ITF Men"
"ITF Portugal F16, Men Singles","ITF Men"
"ITF Portugal F16, Men Doubles","ITF Men"
"ITF USA F6, Men Doubles","ITF Men"
"ITF Poland F9, Men Singles","ITF Men"
"ITF Poland F9, Men Doubles","ITF Men"
"ITF Belarus F2, Men Singles","ITF Men"
"ITF Belarus F2, Men Doubles","ITF Men"
"ITF Belgium F9, Men Singles","ITF Men"
"ITF Belgium F9, Men Doubles","ITF Men"
"ITF Finland F3, Men Singles","ITF Men"
"ITF Finland F3, Men Doubles","ITF Men"
"ITF Germany F11, Men Singles","ITF Men"
"ITF Germany F11, Men Doubles","ITF Men"
"ITF Netherlands F5, Men Singles","ITF Men"
"ITF Netherlands F5, Men Doubles","ITF Men"
"ITF Romania F10, Men Singles","ITF Men"
"ITF Romania F10, Men Doubles","ITF Men"
"ITF Russia F7, Men Singles","ITF Men"
"ITF Russia F7, Men Doubles","ITF Men"
"ITF Serbia F2, Men Singles","ITF Men"
"ITF Serbia F2, Men Doubles","ITF Men"
"ITF Spain F25, Men Singles","ITF Men"
"ITF Spain F25, Men Doubles","ITF Men"
"ITF Thailand F6, Men Singles","ITF Men"
"ITF Thailand F6, Men Doubles","ITF Men"
"ITF Turkey F30, Men Singles","ITF Men"
"ITF Turkey F30, Men Doubles","ITF Men"
"ITF Australia F1, Men Singles","ITF Men"
"ITF Australia F1, Men Doubles","ITF Men"
"ITF Canada F2, Men Singles","ITF Men"
"ITF Canada F2, Men Doubles","ITF Men"
"ITF Croatia F1, Men Singles","ITF Men"
"ITF Croatia F1, Men Doubles","ITF Men"
"ITF Egypt F8, Men Singles","ITF Men"
"ITF Egypt F8, Men Doubles","ITF Men"
"ITF France F5, Men Singles","ITF Men"
"ITF France F5, Men Doubles","ITF Men"
"ITF Japan F1, Men Singles","ITF Men"
"ITF Japan F1, Men Doubles","ITF Men"
"ITF Belgium F10, Men Singles","ITF Men"
"ITF Belgium F10, Men Doubles","ITF Men"
"ITF Italy F26, Men Singles","ITF Men"
"ITF Italy F26, Men Doubles","ITF Men"
"ITF Portugal F17, Men Singles","ITF Men"
"ITF Portugal F17, Men Doubles","ITF Men"
"ITF Romania F11, Men Singles","ITF Men"
"ITF Romania F11, Men Doubles","ITF Men"
"ITF Switzerland F4, Men Singles","ITF Men"
"ITF Switzerland F4, Men Doubles","ITF Men"
"ITF Turkey F12 Men Singles","ITF Men"
"ITF Turkey F12 Men Doubles","ITF Men"
"ITF Tunisia F12 Men Doubles","ITF Men"
"ITF Tunisia F12 Men Singles","ITF Men"
"ITF Portugal F4, Men Singles","ITF Men"
"ITF Portugal F4, Men Doubles","ITF Men"
"ITF Japan F4, Men Singles","ITF Men"
"ITF Japan F4, Men Doubles","ITF Men"
"ITF Israel F3, Men Singles","ITF Men"
"ITF Israel F3, Men Doubles","ITF Men"
"ITF Indonesia F4, Men Singles","ITF Men"
"ITF Indonesia F4, Men Doubles","ITF Men"
"ITF Greece F4, Men Singles","ITF Men"
"ITF Greece F4, Men Doubles","ITF Men"
"ITF Egypt F11, Men Singles","ITF Men"
"ITF Egypt F11, Men Doubles","ITF Men"
"ITF Bahrain F2, Men Singles","ITF Men"
"ITF Bahrain F2, Men Doubles","ITF Men"
"ITF Spain F9, Men Singles","ITF Men"
"ITF Spain F9, Men Doubles","ITF Men"
"ITF Italy F6, Men Singles","ITF Men"
"ITF Italy F6, Men Doubles","ITF Men"
"ITF Turkey F11, Men Singles","ITF Men"
"ITF Turkey F11, Men Doubles","ITF Men"
"ITF Tunisia F11, Men Singles","ITF Men"
"ITF Tunisia F11, Men Doubles","ITF Men"
"ITF Spain F8, Men Singles","ITF Men"
"ITF Spain F8, Men Doubles","ITF Men"
"ITF Japan F3, Men Singles","ITF Men"
"ITF Japan F3, Men Doubles","ITF Men"
"ITF Israel F2, Men Singles","ITF Men"
"ITF Israel F2, Men Doubles","ITF Men"
"ITF Poland F10, Men Singles","ITF Men"
"ITF Poland F10, Men Doubles","ITF Men"
"ITF Spain F26, Men Singles","ITF Men"
"ITF Spain F26, Men Doubles","ITF Men"
"ITF Turkey F31, Men Singles","ITF Men"
"ITF Turkey F31, Men Doubles","ITF Men"
"ITF Argentina F4, Men Singles","ITF Men"
"ITF Argentina F4, Men Doubles","ITF Men"
"ITF Belarus F3, Men Singles","ITF Men"
"ITF Belarus F3, Men Doubles","ITF Men"
"ITF Germany F12, Men Singles","ITF Men"
"ITF Germany F12, Men Doubles","ITF Men"
"ITF Netherlands F6, Men Singles","ITF Men"
"ITF Netherlands F6, Men Doubles","ITF Men"
"ITF Serbia F3, Men Singles","ITF Men"
"ITF Serbia F3, Men Doubles","ITF Men"
"ITF Greece F3, Men Singles","ITF Men"
"ITF Greece F3, Men Doubles","ITF Men"
"ITF Egypt F10, Men Singles","ITF Men"
"ITF Egypt F10, Men Doubles","ITF Men"
"ITF Croatia F3, Men Singles","ITF Men"
"ITF Croatia F3, Men Doubles","ITF Men"
"ITF Bahrain F1, Men Singles","ITF Men"
"ITF Bahrain F1, Men Doubles","ITF Men"
"ITF USA F11, Men Singles","ITF Men"
"ITF USA F11, Men Doubles","ITF Men"
"ITF Italy F5, Men Singles","ITF Men"
"ITF Italy F5, Men Doubles","ITF Men"
"ITF Australia F3, Men Singles","ITF Men"
"ITF Australia F3, Men Doubles","ITF Men"
"ITF Turkey F10, Men Singles","ITF Men"
"ITF Turkey F10, Men Doubles","ITF Men"
"ITF Tunisia F10, Men Singles","ITF Men"
"ITF Tunisia F10, Men Doubles","ITF Men"
"ITF Japan F2, Men Singles","ITF Men"
"ITF Japan F2, Men Doubles","ITF Men"
"ITF Italy F4, Men Singles","ITF Men"
"ITF Italy F4, Men Doubles","ITF Men"
"ITF Israel F1, Men Singles","ITF Men"
"ITF Israel F1, Men Doubles","ITF Men"
"ITF India F5, Men Singles","ITF Men"
"ITF India F5, Men Doubles","ITF Men"
"ITF Portugal F2, Men Doubles","ITF Men"
"ITF Portugal F2, Men Singles","ITF Men"
"ITF Tunisia F9, Men Singles","ITF Men"
"ITF Tunisia F9, Men Doubles","ITF Men"
"ITF France F6, Men Singles","ITF Men"
"ITF France F6, Men Doubles","ITF Men"
"ITF Egypt F9, Men Singles","ITF Men"
"ITF Egypt F9, Men Doubles","ITF Men"
"ITF Turkey F9, Men Singles","ITF Men"
"ITF Turkey F9, Men Doubles","ITF Men"
"ITF Croatia F2, Men Singles","ITF Men"
"ITF Croatia F2, Men Doubles","ITF Men"
"ITF USA F10, Men Singles","ITF Men"
"ITF USA F10, Men Doubles","ITF Men"
"ITF China F4, Men Singles","ITF Men"
"ITF China F4, Men Doubles","ITF Men"
"ITF USA F15, Men Singles","ITF Men"
"ITF Italy F7, Men Singles","ITF Men"
"ITF USA F15, Men Doubles","ITF Men"
"ITF Italy F7, Men Doubles","ITF Men"
"ITF Spain F10, Men Singles","ITF Men"
"ITF Spain F10, Men Doubles","ITF Men"
"ITF Egypt F12, Men Singles","ITF Men"
"ITF Egypt F12, Men Doubles","ITF Men"
"ITF Turkey F16, Men Singles","ITF Men"
"ITF Turkey F16, Men Doubles","ITF Men"
"ITF Tunisia F16, Men Doubles","ITF Men"
"ITF Tunisia F16, Men Singles","ITF Men"
"ITF Greece F5, Men Singles","ITF Men"
"ITF Greece F5, Men Doubles","ITF Men"
"ITF Indonesia F5, Men Singles","ITF Men"
"ITF Indonesia F5, Men Doubles","ITF Men"
"ITF Spain F11, Men Singles","ITF Men"
"ITF Spain F11, Men Doubles","ITF Men"
"ITF Japan F5, Men Singles","ITF Men"
"ITF Japan F5, Men Doubles","ITF Men"
"ITF Portugal F5, Men Singles","ITF Men"
"ITF Portugal F5, Men Doubles","ITF Men"
"ITF Kazakhstan F5, Men Singles","ITF Men"
"ITF Kazakhstan F5, Men Doubles","ITF Men"
"ITF Qatar F1, Men Singles","ITF Men"
"ITF Qatar F1, Men Doubles","ITF Men"
"ITF Israel F4, Men Singles","ITF Men"
"ITF Israel F4, Men Doubles","ITF Men"
"ITF Tunisia F13, Men Singles","ITF Men"
"ITF Tunisia F13, Men Doubles","ITF Men"
"ITF Egypt F15, Men Singles","ITF Men"
"ITF Egypt F15, Men Doubles","ITF Men"
"ITF Turkey F13, Men Singles","ITF Men"
"ITF Turkey F13, Men Doubles","ITF Men"
"ITF Uzbekistan F2, Men Singles","ITF Men"
"ITF Uzbekistan F2, Men Doubles","ITF Men"
"ITF USA F13, Men Singles","ITF Men"
"ITF USA F13, Men Doubles","ITF Men"
"ITF Italy F10, Men Singles","ITF Men"
"ITF Italy F10, Men Doubles","ITF Men"
"ITF Egypt F13, Men Singles","ITF Men"
"ITF Egypt F13, Men Doubles","ITF Men"
"ITF Indonesia F6, Men Singles","ITF Men"
"ITF Indonesia F6, Men Doubles","ITF Men"
"ITF Italy F8, Men Singles","ITF Men"
"ITF Italy F8, Men Doubles","ITF Men"
"ITF Kazakhstan F3, Men Singles","ITF Men"
"ITF Kazakhstan F3, Men Doubles","ITF Men"
"ITF Portugal F6, Men Singles","ITF Men"
"ITF Portugal F6, Men Doubles","ITF Men"
"ITF Qatar F2, Men Singles","ITF Men"
"ITF Qatar F2, Men Doubles","ITF Men"
"ITF Tunisia F14, Men Singles","ITF Men"
"ITF Tunisia F14, Men Doubles","ITF Men"
"ITF Turkey F14, Men Singles","ITF Men"
"ITF Turkey F14, Men Doubles","ITF Men"
"ITF Italy F9, Men Singles","ITF Men"
"ITF Italy F9, Men Doubles","ITF Men"
"ITF Uzbekistan F1, Men Singles","ITF Men"
"ITF Uzbekistan F1, Men Doubles","ITF Men"
"ITF Egypt F14, Men Singles","ITF Men"
"ITF Egypt F14, Men Doubles","ITF Men"
"ITF France F8, Men Singles","ITF Men"
"ITF France F8, Men Doubles","ITF Men"
"ITF Kazakhstan F4, Men Singles","ITF Men"
"ITF Kazakhstan F4, Men Doubles","ITF Men"
"ITF Qatar F3, Men Singles","ITF Men"
"ITF Qatar F3, Men Doubles","ITF Men"
"ITF Tunisia F15, Men Singles","ITF Men"
"ITF Tunisia F15, Men Doubles","ITF Men"
"ITF Turkey F15, Men Singles","ITF Men"
"ITF Turkey F15, Men Doubles","ITF Men"
"ITF USA F14, Men Singles","ITF Men"
"ITF USA F14, Men Doubles","ITF Men"
"ITF France F9, Men Singles","ITF Men"
"ITF France F9, Men Doubles","ITF Men"
"ITF Nigeria F1, Men Singles","ITF Men"
"ITF Nigeria F1, Men Doubles","ITF Men"
"ITF Spain F12, Men Singles","ITF Men"
"ITF Spain F12, Men Doubles","ITF Men"
"ITF France F10, Men Singles","ITF Men"
"ITF France F10, Men Doubles","ITF Men"
"ITF Israel F5, Men Singles","ITF Men"
"ITF Israel F5, Men Doubles","ITF Men"
"ITF Italy F11, Men Singles","ITF Men"
"ITF Italy F11, Men Doubles","ITF Men"
"ITF Tunisia F17, Men Singles","ITF Men"
"ITF Tunisia F17, Men Doubles","ITF Men"
"ITF Turkey F17, Men Singles","ITF Men"
"ITF Turkey F17, Men Doubles","ITF Men"
"ITF USA F16, Men Singles","ITF Men"
"ITF USA F16, Men Doubles","ITF Men"
"ITF Nigeria F2, Men Singles","ITF Men"
"ITF Nigeria F2, Men Doubles","ITF Men"
"ITF Sweden F1, Men Singles","ITF Men"
"ITF Sweden F1, Men Doubles","ITF Men"
"ITF China F6, Men Singles","ITF Men"
"ITF China F6, Men Doubles","ITF Men"
"ITF Israel F6, Men Singles","ITF Men"
"ITF Israel F6, Men Doubles","ITF Men"
"ITF Mexico F3, Men Singles","ITF Men"
"ITF Mexico F3, Men Doubles","ITF Men"
"ITF Spain F13, Men Singles","ITF Men"
"ITF Spain F13, Men Doubles","ITF Men"
"ITF Tunisia F18, Men Singles","ITF Men"
"ITF Tunisia F18, Men Doubles","ITF Men"
"ITF Turkey F18, Men Singles","ITF Men"
"ITF Turkey F18, Men Doubles","ITF Men"
"ITF Ukraine F1, Men Singles","ITF Men"
"ITF Ukraine F1, Men Doubles","ITF Men"
"ITF China F7, Men Singles","ITF Men"
"ITF China F7, Men Doubles","ITF Men"
"ITF Nigeria F3, Men Singles","ITF Men"
"ITF Nigeria F3, Men Doubles","ITF Men"
"ITF Sweden F2, Men Singles","ITF Men"
"ITF Sweden F2, Men Doubles","ITF Men"
"ITF Czech Republic F1, Men Singles","ITF Men"
"ITF Czech Republic F1, Men Doubles","ITF Men"
"ITF Hungary F2, Men Singles","ITF Men"
"ITF Hungary F2, Men Doubles","ITF Men"
"ITF Israel F7, Men Singles","ITF Men"
"ITF Israel F7, Men Doubles","ITF Men"
"ITF Italy F13, Men Singles","ITF Men"
"ITF Italy F13, Men Doubles","ITF Men"
"ITF Mexico F4, Men Singles","ITF Men"
"ITF Mexico F4, Men Doubles","ITF Men"
"ITF Romania F1, Men Singles","ITF Men"
"ITF Romania F1, Men Doubles","ITF Men"
"ITF Spain F14, Men Singles","ITF Men"
"ITF Spain F14, Men Doubles","ITF Men"
"ITF Tunisia F19, Men Singles","ITF Men"
"ITF Tunisia F19, Men Doubles","ITF Men"
"ITF Hungary F7, Men Singles","ITF Men"
"ITF Hungary F7, Men Doubles","ITF Men"
"ITF Portugal F18, Men Singles","ITF Men"
"ITF Portugal F18, Men Doubles","ITF Men"
"ITF Turkey F19, Men Singles","ITF Men"
"ITF Turkey F19, Men Doubles","ITF Men"
"ITF Ukraine F2, Men Singles","ITF Men"
"ITF Ukraine F2, Men Doubles","ITF Men"
"ITF China F8, Men Singles","ITF Men"
"ITF China F8, Men Doubles","ITF Men"
"ITF Romania F2, Men Singles","ITF Men"
"ITF Romania F2, Men Doubles","ITF Men"
"ITF Bosnia & Herzegovina F1, Men Singles","ITF Men"
"ITF Bosnia & Herzegovina F1, Men Doubles","ITF Men"
"ITF Czech Republic F2, Men Singles","ITF Men"
"ITF Czech Republic F2, Men Doubles","ITF Men"
"ITF Hungary F3, Men Singles","ITF Men"
"ITF Hungary F3, Men Doubles","ITF Men"
"ITF Israel F8, Men Singles","ITF Men"
"ITF Israel F8, Men Doubles","ITF Men"
"ITF Canada F5, Men Singles","ITF Men"
"ITF Canada F5, Men Doubles","ITF Men"
"ITF Spain F27, Men Singles","ITF Men"
"ITF Spain F27, Men Doubles","ITF Men"
"ITF Argentina F5, Men Singles","ITF Men"
"ITF Argentina F5, Men Doubles","ITF Men"
"ITF Belgium F11, Men Singles","ITF Men"
"ITF Belgium F11, Men Doubles","ITF Men"
"ITF Italy F27, Men Singles","ITF Men"
"ITF Italy F27, Men Doubles","ITF Men"
"ITF Poland F11, Men Singles","ITF Men"
"ITF Poland F11, Men Doubles","ITF Men"
"ITF Romania F12, Men Singles","ITF Men"
"ITF Romania F12, Men Doubles","ITF Men"
"ITF Serbia F4, Men Singles","ITF Men"
"ITF Serbia F4, Men Doubles","ITF Men"
"ITF Switzerland F5, Men Singles","ITF Men"
"ITF Switzerland F5, Men Doubles","ITF Men"
"ITF Turkey F32, Men Singles","ITF Men"
"ITF Turkey F32, Men Doubles","ITF Men"
"ITF Ukraine F4, Men Singles","ITF Men"
"ITF Ukraine F4, Men Doubles","ITF Men"
"ITF Singapore F1, Men Singles","ITF Men"
"ITF Singapore F1, Men Doubles","ITF Men"
"ITF Spain F15, Men Singles","ITF Men"
"ITF Spain F15, Men Doubles","ITF Men"
"ITF Tunisia F20, Men Singles","ITF Men"
"ITF Tunisia F20, Men Doubles","ITF Men"
"ITF Turkey F20, Men Singles","ITF Men"
"ITF Turkey F20, Men Doubles","ITF Men"
"ITF Ukraine F3, Men Singles","ITF Men"
"ITF Ukraine F3, Men Doubles","ITF Men"
"ITF China F9, Men Singles","ITF Men"
"ITF China F9, Men Doubles","ITF Men"
"ITF Japan F6, Men Singles","ITF Men"
"ITF Japan F6, Men Doubles","ITF Men"
"ITF Uzbekistan F3, Men Singles","ITF Men"
"ITF Uzbekistan F3, Men Doubles","ITF Men"
"ITF Bosnia & Herzegovina F2, Men Singles","ITF Men"
"ITF Bosnia & Herzegovina F2, Men Doubles","ITF Men"
"ITF Czech Republic F3, Men Singles","ITF Men"
"ITF Czech Republic F3, Men Doubles","ITF Men"
"ITF Italy F15, Men Singles","ITF Men"
"ITF Italy F15, Men Doubles","ITF Men"
"ITF Korea F1, Men Singles","ITF Men"
"ITF Korea F1, Men Doubles","ITF Men"
"ITF Singapore F2, Men Singles","ITF Men"
"ITF Singapore F2, Men Doubles","ITF Men"
"ITF Tunisia F21, Men Singles","ITF Men"
"ITF Tunisia F21, Men Doubles","ITF Men"
"ITF Uzbekistan F4, Men Singles","ITF Men"
"ITF Uzbekistan F4, Men Doubles","ITF Men"
"ITF Argentina F1, Men Singles","ITF Men"
"ITF Argentina F1, Men Doubles","ITF Men"
"ITF Bosnia & Herzegovina F3, Men Singles","ITF Men"
"ITF Bosnia & Herzegovina F3, Men Doubles","ITF Men"
"ITF Israel F9, Men Singles","ITF Men"
"ITF Israel F9, Men Doubles","ITF Men"
"ITF Italy F16, Men Singles","ITF Men"
"ITF Italy F16, Men Doubles","ITF Men"
"ITF Thailand F1, Men Singles","ITF Men"
"ITF Thailand F1, Men Doubles","ITF Men"
"ITF Tunisia F22, Men Singles","ITF Men"
"ITF Tunisia F22, Men Doubles","ITF Men"
"ITF Turkey F22, Men Singles","ITF Men"
"ITF Turkey F22, Men Doubles","ITF Men"
"ITF Chinese Taipei F1, Men Singles","ITF Men"
"ITF Chinese Taipei F1, Men Doubles","ITF Men"
"ITF Hungary F4, Men Singles","ITF Men"
"ITF Hungary F4, Men Doubles","ITF Men"
"ITF Turkiye F23, Men Singles","ITF Men"
"ITF Turkiye F23, Men Doubles","ITF Men"
"ITF USA F17, Men Singles","ITF Men"
"ITF USA F17, Men Doubles","ITF Men"
"ITF Argentina F2, Men Singles","ITF Men"
"ITF Argentina F2, Men Doubles","ITF Men"
"ITF Turkiye F33, Men Singles","ITF Men"
"ITF Turkiye F33, Men Doubles","ITF Men"
"ITF Ukraine F5, Men Singles","ITF Men"
"ITF Ukraine F5, Men Doubles","ITF Men"
"ITF Canada F6, Men Singles","ITF Men"
"ITF Canada F6, Men Doubles","ITF Men"
"ITF France F18, Men Singles","ITF Men"
"ITF France F18, Men Doubles","ITF Men"
"ITF Argentina F6, Men Singles","ITF Men"
"ITF Argentina F6, Men Doubles","ITF Men"
"ITF Belgium F12, Men Singles","ITF Men"
"ITF Belgium F12, Men Doubles","ITF Men"
"ITF Egypt F24, Men Singles","ITF Men"
"ITF Egypt F24, Men Doubles","ITF Men"
"ITF India F7, Men Singles","ITF Men"
"ITF India F7, Men Doubles","ITF Men"
"ITF Serbia F5, Men Singles","ITF Men"
"ITF Serbia F5, Men Doubles","ITF Men"
"ITF Tunisia F25, Men Singles","ITF Men"
"ITF Tunisia F25, Men Doubles","ITF Men"
"ITF Italy F17, Men Singles","ITF Men"
"ITF Italy F17, Men Doubles","ITF Men"
"ITF Japan F8, Men Singles","ITF Men"
"ITF Japan F8, Men Doubles","ITF Men"
"ITF Korea F3, Men Singles","ITF Men"
"ITF Korea F3, Men Doubles","ITF Men"
"ITF Poland F1, Men Singles","ITF Men"
"ITF Poland F1, Men Doubles","ITF Men"
"ITF Romania F3, Men Singles","ITF Men"
