"complex_name","venue_count"
"Goodfriend Indoor Tennis Center","6"
"Penina Hotel & Golf Resort","6"
"Tennis Palladio 98","8"
"Jim and Nell Hawkins Indoor Tennis Center","4"
"Ningbo Tennis Center of WTA Ningbo, China w42","12"
"Cordoba Lawn Tennis Club","3"
"Complexe Jean Jaures","8"
"Jinwol International Tennis Court","10"
"Acapulco Princess Mundo Imperial","3"
"Fitzerald Tennis Center Rock Creek Park","9"
"Circolo Tennis Maggioni","3"
"Club Deportivo Potosino","8"
"Goodfriend Tennis Center","6"
"Circolo Tennis Barletta","2"
"USTA National Campus","8"
"Istanbul Tennis Center","4"
"Club Campestre Farallones","3"
"SEB Arena","12"
"Palais des Sports de Marseille","3"
"Complexe Sportif du Blocry","2"
"All In Country Club Decines","3"
"Shenzhen International Tennis Center","11"
"AAJB Tennis","11"
"Club Jacaranda Cumbaya","15"
"Olme Sport","5"
"Delhi Lawn Tennis Association","3"
"Tennis Club de Geneve","5"
"Valletta Cambiaso ASD","9"
"SDAT Tennis Stadium","5"
"CK Sportcenter Kockelscheuer","5"
"Parc De La TeTe D'or","4"
"Iate Club de Brasilia","7"
"Forestmeadows Tennis Center","8"
"Arena Armeets Sofia","5"
"Circolo Tennis I Faggi","2"
"Hilary J. Boone Tennis Center","12"
"Arena GNP Seguros","5"
"Sud de France Arena","2"
"Sporting Club Verona","8"
"Sporting Poseidon","4"
"Kachreti Golf Resort","4"
"Tennis Club Pamira","5"
"Tennis Club ""Tennispark""","8"
"Nottingham Tennis Centre","18"
"KPI Park","6"
"TK Spoje Praha","4"
"Au Tennis Club De Tunis","7"
"Qi zhong Forest Sports City Arena","2"
"Mamushidani Tennis Courts, Keio University","9"
"LTV 1899","7"
"Styslinger Altec Tennis Complex","2"
"Arena Montpellier","5"
"Optics Valley International Tennis Center","13"
"Rome Tennis Center","5"
"Westwood Country Club","11"
"Club Tennis Vic","4"
"Eurosporting Cordenons","14"
"Tenis Centar Maksimir","5"
"Domain Tennis Centre","3"
"Palais des Sports Orleans","6"
"Tennis Club Rot Weiss Troisdorf E. V.","3"
"Kitzbühel Tennis Club Sportfeld 2","8"
"Dan Maskell Tennis Centre","4"
"Club de Tenis Santa Cruz","9"
"Roy Emerson Arena","5"
"Newport Beach Tennis Club","6"
"Academy Zhangjiagang","8"
"Tennis Club Ruppurr 1929 e. V.","4"
"Sheraton Buganvilias Resort and Convention Center","4"
"Utsubo Tennis Center","7"
"Padiglione Conza","12"
"Club Naval de Campo las Salinas","4"
"Club de Golf Tres Marias","5"
"International Tennis Hall of Fame","9"
"TK Slovan Bratislava","7"
"Cary Tennis Park","7"
"Clube Hipico Santo Amaro","20"
"Laurel Oak Country Club","3"
"Tennis Club Saint Tropez","7"
"Circolo Tennis Hugo Simmen","15"
"Tennis Club de Lyon","8"
"AELTC Wimbledon Qualifying and Community Sports Centre","20"
"The Lawn Tennis Association of Thailand","7"
"Arena Loire Trelaze","7"
"Tennis Sanremo","6"
"Club Compensar Sede 220","8"
"SYMA Sports and Conference Centre","3"
"Buenos Aires Lawn Tennis Club","30"
"Club Manquehue de Vitacura","19"
"Stade Iga","8"
"Porsche-Arena","3"
"CTC Corrientes Tennis Club","8"
"Le Scarabee","2"
"Complexo Tenis Monte Aventino","6"
"Miki Disaster Management Park","9"
"Royal Arena","4"
"USTA Billie Jean King National Tennis Center","17"
"Sport Center Visnjik (Clay)","6"
"TC RW-Troisdorf e.V","10"
"Tips Arena Linz","3"
"Tennis Club Jug","10"
"Green Tennis Plaza","7"
"Club Rancho San Francisco","7"
"Club Deportivo Universidad Catolica","6"
"Yucatan Country Club","5"
"Nacionalni Trening Centar Teniskog","5"
"Nudgee Grammar","6"
"Parc des Expositions Quimper Cornouaille","6"
"Tivoli Tennis Center","5"
"The Thoreau Club","3"
"Tennisclub Heilbronn am Trappensee","7"
"Nautica Entertainment Complex","3"
"Tennis Club Todi 1971","5"
"Dan Magill Tennis Complex","6"
"Wake Forest Tennis Center","11"
"Carvoeiro Clube de Tenis","4"
"Sportaktivpark Bad Waltersdorf","4"
"President Tennis Club","3"
"Club Tenis Ciutadella","3"
"Rafa Nadal Academy","10"
"Sports Center Salata","11"
