"venue_name","complex_name"
"Court 6","Victoria Park Tennis Court"
"Court 5","Victoria Park Tennis Court"
"Court 5","Victoria Park Tennis Court"
"Indoor C1","Victoria Park Tennis Court"
"Indoor C2","Victoria Park Tennis Court"
"Central Court","Tianjin Tuanbo International Tennis Center"
"Court 1","Tianjin Tuanbo International Tennis Center"
"Court 2","Tianjin Tuanbo International Tennis Center"
"Court 3","Tianjin Tuanbo International Tennis Center"
"Court 4","Tianjin Tuanbo International Tennis Center"
"Court 5","Tianjin Tuanbo International Tennis Center"
"Indoor Court 2","Tianjin Tuanbo International Tennis Center"
"Indoor 3","Tianjin Tuanbo International Tennis Center"
"Indoor 4","Tianjin Tuanbo International Tennis Center"
"Indoor 1","Tianjin Tuanbo International Tennis Center"
"Indoor 1","Tashkent Tennis Centreake"
"Indoor 2","Tashkent Tennis Centreake"
"Diamond","China National Tennis Center"
"Center","Utsubo Tennis Center"
"Court 1","Utsubo Tennis Center"
"Court 2","Utsubo Tennis Center"
"Court 3","Utsubo Tennis Center"
"Court 4","Utsubo Tennis Center"
"Court 8","Utsubo Tennis Center"
"Court 9","Utsubo Tennis Center"
"Stadium","Connecticut Tennis Center"
"SportMaster Grandstand","Connecticut Tennis Center"
"Court 1","Connecticut Tennis Center"
"Court 2","Connecticut Tennis Center"
"Court 3","Connecticut Tennis Center"
"Court C","Connecticut Tennis Center"
"Court 4","Connecticut Tennis Center"
"Court A","Connecticut Tennis Center"
"Court G","Connecticut Tennis Center"
"Court I","Connecticut Tennis Center"
"Court G","Connecticut Tennis Center"
"Stadium","Sobeys Stadium"
"Rogers 5G Grandstand","Sobeys Stadium"
"Court 1","Sobeys Stadium"
"Court 3","Sobeys Stadium"
"Center Court","Sobeys Stadium"
"Court 4","Sobeys Stadium"
"Court 2","Sobeys Stadium"
"Court 5","Sobeys Stadium"
"Court 10","Sobeys Stadium"
"Court 12","Sobeys Stadium"
"Court 9","Sobeys Stadium"
"National Bank Grandstand","Sobeys Stadium"
"Grandstand","Sobeys Stadium"
"Cashmere Grandstand","Sobeys Stadium"
"Motorola razr Grandstand Court","Sobeys Stadium"
"P&G Center Court","Lindner Family Tennis Center"
"Court 2","Palais des Sports de Pau"
"P&G Grandstand","Lindner Family Tennis Center"
"Court 3","Lindner Family Tennis Center"
"Court 4","Lindner Family Tennis Center"
"Court 5","Lindner Family Tennis Center"
"Court 1","Lindner Family Tennis Center"
"Stadium","Lindner Family Tennis Center"
"Court 9","Lindner Family Tennis Center"
"Court 6","Lindner Family Tennis Center"
"Court 7","Lindner Family Tennis Center"
"Porsche Court","Lindner Family Tennis Center"
"Holcim Stadium 3","Lindner Family Tennis Center"
"Court 8","Lindner Family Tennis Center"
"Court 11","Lindner Family Tennis Center"
"Court 10","Lindner Family Tennis Center"
"P&G Stadium Court","Lindner Family Tennis Center"
"Champions' Court","Lindner Family Tennis Center"
"Grandstand","Lindner Family Tennis Center"
"Centre Court","Tennis Club de Strasbourg"
"Court 2","Tennis Club de Strasbourg"
"Court 3","Tennis Club de Strasbourg"
"Court 1","Tennis Club de Strasbourg"
"Court Patrice Dominguez","Tennis Club de Strasbourg"
"Court A","Tennis Club de Strasbourg"
"Court B","Tennis Club de Strasbourg"
"Court D","Tennis Club de Strasbourg"
"Court 4","Tennis Club de Strasbourg"
"Indoor C","Tennis Club de Strasbourg"
"Indoor Court 1","Tennis Club de Strasbourg"
"Centre Court","Edgbaston Priory Club"
"Court 1","Edgbaston Priory Club"
"Court 2","Edgbaston Priory Club"
"Court 3","Edgbaston Priory Club"
"Court 4","Edgbaston Priory Club"
"Ann Jones Centre Court","Edgbaston Priory Club"
"Indoor 4","Edgbaston Priory Club"
"Indoor 6","Edgbaston Priory Club"
"Court 5","Edgbaston Priory Club"
"Court 6","Edgbaston Priory Club"
"Center Court","Royal Tennis Club de Marrakech"
"Court 1","Royal Tennis Club de Marrakech"
"Court 2","Royal Tennis Club de Marrakech"
"Court 4","Royal Tennis Club de Marrakech"
"Court 5","Royal Tennis Club de Marrakech"
"Court 9","Royal Tennis Club de Marrakech"
"Center Court","Tennis Club 1.FCN"
"Show Court","Tennis Club 1.FCN"
"Court 1","Tennis Club 1.FCN"
"Court 2","Tennis Club 1.FCN"
"Court 4","Tennis Club 1.FCN"
"Show Court 3","Tennis Club 1.FCN"
"Court 5","Tennis Club 1.FCN"
"Centre Court","Devonshire Park Lawn Tennis Centre"
"Court 1","Devonshire Park Lawn Tennis Centre"
"Court 2","Devonshire Park Lawn Tennis Centre"
"Court 3","Devonshire Park Lawn Tennis Centre"
"Court 4","Devonshire Park Lawn Tennis Centre"
"Court 5","Devonshire Park Lawn Tennis Centre"
"Court 7","Devonshire Park Lawn Tennis Centre"
"Court 8","Devonshire Park Lawn Tennis Centre"
"Court 9","Devonshire Park Lawn Tennis Centre"
"Court 10","Devonshire Park Lawn Tennis Centre"
"Court 11","Devonshire Park Lawn Tennis Centre"
"Court 12","Devonshire Park Lawn Tennis Centre"
"ECM Court","Tennis Club Sparta Praha"
"Centre Court","Tennis Club Sparta Praha"
"Court A","Tennis Club Sparta Praha"
"Allianz Court","Tennis Club Sparta Praha"
"Court 7","Tennis Club Sparta Praha"
"Court 6","Tennis Club Sparta Praha"
"Court 5","Tennis Club Sparta Praha"
"Court 3","Tennis Club Sparta Praha"
"Court 8","Tennis Club Sparta Praha"
"Court 6 - Centre","Tennis Club Sparta Praha"
"Court 1","Tennis Club Sparta Praha"
"Sparta Centre Court","Tennis Club Sparta Praha"
"Court 11","Tennis Club Sparta Praha"
"Court 13","Tennis Club Sparta Praha"
"Court 2","Tennis Club Sparta Praha"
"Practice Court 1","Tennis Club Sparta Praha"
"Centre Court","Khalifa International Tennis & Squash Complex"
"Court 1","Khalifa International Tennis & Squash Complex"
"Court 2","Khalifa International Tennis & Squash Complex"
"Court 4","Khalifa International Tennis & Squash Complex"
"Court 3","Khalifa International Tennis & Squash Complex"
"Court 5","Khalifa International Tennis & Squash Complex"
"Court A","Khalifa International Tennis & Squash Complex"
"Court B","Khalifa International Tennis & Squash Complex"
"Grandstand 1","Khalifa International Tennis & Squash Complex"
"Grandstand 2","Khalifa International Tennis & Squash Complex"
"Grandstand 3","Khalifa International Tennis & Squash Complex"
"Grandstand 4","Khalifa International Tennis & Squash Complex"
"Court 2","Club Sonoma"
"Estadio GNP Seguros","Club Sonoma"
"Cancha 1","Club Sonoma"
"Cancha 2","Club Sonoma"
"Cancha  3","Club Sonoma"
"Cancha 4","Club Sonoma"
"Court 3","Club Sonoma"
"Court Torner","Club Sonoma"
"Court 5","Club Sonoma"
"Court 8","Club Sonoma"
"Court 7","Club Sonoma"
"Quadra Guga Kuerten","Jockey Club Brasileiro"
"Quadra 2","Jockey Club Brasileiro"
"Court 3","Jockey Club Brasileiro"
"Court 6","Jockey Club Brasileiro"
"Quadra 5","Jockey Club Brasileiro"
"Court 7","Jockey Club Brasileiro"
"Court 8","Jockey Club Brasileiro"
"Quadra 4","Jockey Club Brasileiro"
"Quadra 3","Jockey Club Brasileiro"
"Quadra 1","Jockey Club Brasileiro"
"Centra Court","Jockey Club Brasileiro"
"Court 2","Jockey Club Brasileiro"
"Center Court","Jockey Club Brasileiro"
"Court 1","Jockey Club Brasileiro"
"Quadra Central","Jockey Club Brasileiro"
"Central Court","Jockey Club Brasileiro"
"Central","Jockey Club Brasileiro"
"Cancha Central","Acapulco Princess Mundo Imperial"
"Cancha 4","Acapulco Princess Mundo Imperial"
"Cancha 5","Acapulco Princess Mundo Imperial"
"Credit One Stadium","Family Circle Tennis Center"
"Court 7","Family Circle Tennis Center"
"Court 5","Family Circle Tennis Center"
"Court 4","Family Circle Tennis Center"
"Court 3","Family Circle Tennis Center"
"Althea Gibson Club Court","Family Circle Tennis Center"
"Center Court","St. Jakobshalle Basel"
"Court 2","St. Jakobshalle Basel"
"IWB Court 1","St. Jakobshalle Basel"
"Court 3","St. Jakobshalle Basel"
"Court 4","St. Jakobshalle Basel"
"Court 5","St. Jakobshalle Basel"
"Table 3","St. Jakobshalle Basel"
"Table 1","St. Jakobshalle Basel"
"Table 4","St. Jakobshalle Basel"
"Table 2","St. Jakobshalle Basel"
"Court 6","St. Jakobshalle Basel"
"COURT B","Wien, Wiener Stadthalle"
"Next Gen Court","Wien, Wiener Stadthalle"
"Court 2","Shenzhen Longgang Sports Center"
"Center Court","Shenzhen Longgang Sports Center"
"Pat Rafter Arena","Queensland Tennis Centre"
"Court 1","Queensland Tennis Centre"
"Court 2","Queensland Tennis Centre"
"Court 5","Queensland Tennis Centre"
"Court 10","Queensland Tennis Centre"
"Court 14","Queensland Tennis Centre"
"Court 16","Queensland Tennis Centre"
"Ct 6","Queensland Tennis Centre"
"Ct 4","Queensland Tennis Centre"
"Stadium Court","Queensland Tennis Centre"
"Show Court 2","Queensland Tennis Centre"
"Ct 10","Queensland Tennis Centre"
"Ct 8","Queensland Tennis Centre"
"Ct 14","Queensland Tennis Centre"
"Court 6","Queensland Tennis Centre"
"Court 3","Queensland Tennis Centre"
"Show Court 1","Queensland Tennis Centre"
"Ct 16","Queensland Tennis Centre"
"Ct 13","Queensland Tennis Centre"
"Ct 15","Queensland Tennis Centre"
"Court 3","Am Rothenbaum"
"Court 5","Am Rothenbaum"
"Court 4","Am Rothenbaum"
"Head Gravity Court","Am Rothenbaum"
"Centre Court","Kungliga Tennishallen"
"Court 1","Kungliga Tennishallen"
"Court 2","Kungliga Tennishallen"
"Court 3","Kungliga Tennishallen"
"ShowCourt","Kungliga Tennishallen"
"Centre Court","Kitzbühel Tennis Club Sportfeld 2"
"Grandstand","Kitzbühel Tennis Club Sportfeld 2"
"Court Kuchenmeister","Kitzbühel Tennis Club Sportfeld 2"
"Court 3","Kitzbühel Tennis Club Sportfeld 2"
"Court 2","Kitzbühel Tennis Club Sportfeld 2"
"Kaps","Kitzbühel Tennis Club Sportfeld 2"
"Court Riedel","Kitzbühel Tennis Club Sportfeld 2"
"Court Stadtwerke","Kitzbühel Tennis Club Sportfeld 2"
"Court 5","The Queens Club"
"Stadion","Gerry Weber Stadium"
"Court 1","Nottingham Tennis Centre"
"Court 3","Nottingham Tennis Centre"
"Centre Court","Nottingham Tennis Centre"
"Court 2","Nottingham Tennis Centre"
"Court 4","Nottingham Tennis Centre"
"Court 7","Nottingham Tennis Centre"
"Court 8","Nottingham Tennis Centre"
"Indoor 2","Nottingham Tennis Centre"
"Indoor 4","Nottingham Tennis Centre"
"Court 5","Nottingham Tennis Centre"
"Court 6","Nottingham Tennis Centre"
"Court 9","Nottingham Tennis Centre"
"Indoor 5","Nottingham Tennis Centre"
"Indoor 6","Nottingham Tennis Centre"
"Indoor 1","Nottingham Tennis Centre"
"Trent 1","Nottingham Tennis Centre"
"Trent 2","Nottingham Tennis Centre"
"Indoor 3","Nottingham Tennis Centre"
"Court 1","Bastad Tennis Stadium"
"Court 2","Bastad Tennis Stadium"
"Court 3","Bastad Tennis Stadium"
"Court 4","Bastad Tennis Stadium"
"Court 5","Bastad Tennis Stadium"
"Centre Court","Bastad Tennis Stadium"
"Centre Court","Tennis Club de Geneve"
"Court 2","Tennis Club de Geneve"
"Court 1","Tennis Club de Geneve"
"Court 3","Tennis Club de Geneve"
"Court 4","Tennis Club de Geneve"
"Centre Court","Autotron Rosmalen"
"Court 1","Autotron Rosmalen"
"Court 2","Autotron Rosmalen"
"Court 3","Autotron Rosmalen"
"Court 5","Autotron Rosmalen"
"Court 6","Autotron Rosmalen"
"Court 4","Autotron Rosmalen"
"CENTRALA","BNR arena"
"SEMI CENTRALA","BNR arena"
"Court 4","BNR arena"
"Court 5","BNR arena"
"Grandstand","BNR arena"
"Court 7","BNR arena"
"Court 6","BNR arena"
"Court 8","BNR arena"
"Court 9","BNR arena"
"Center Court","MTTC Iphitos e.V."
"Court 4","MTTC Iphitos e.V."
"Court 8","MTTC Iphitos e.V."
"Court 10","MTTC Iphitos e.V."
